"AUDTYR44.Code.or.Value","AUDTYR44.Value.Description","AUDTYR44.Count","AUDTYR44.Cumulative","AUDTYR44.Skip.to.Item"
"0 to 4","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
