"ORXH66.Code.or.Value","ORXH66.Value.Description","ORXH66.Count","ORXH66.Cumulative","ORXH66.Skip.to.Item"
"1","Positive",23,23,NA
"2","Negative",4523,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
