"SSFOLSI.Code.or.Value","SSFOLSI.Value.Description","SSFOLSI.Count","SSFOLSI.Cumulative","SSFOLSI.Skip.to.Item"
"0 to 272.98746201","Range of Values",1253,1253,NA
".","Missing",0,1253,NA
