"LBDIHGSI.Code.or.Value","LBDIHGSI.Value.Description","LBDIHGSI.Count","LBDIHGSI.Cumulative","LBDIHGSI.Skip.to.Item"
"0.75 to 169.41","Range of Values",7480,7480,NA
".","Missing",886,8366,NA
