"BIXS093K.Code.or.Value","BIXS093K.Value.Description","BIXS093K.Count","BIXS093K.Cumulative","BIXS093K.Skip.to.Item"
"295.79 to 890.88","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
