"WBXF028.Code.or.Value","WBXF028.Value.Description","WBXF028.Count","WBXF028.Cumulative","WBXF028.Skip.to.Item"
"816.9577 to 816.9577","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
