"OHD26LAS.Code.or.Value","OHD26LAS.Value.Description","OHD26LAS.Count","OHD26LAS.Cumulative","OHD26LAS.Skip.to.Item"
"0 to 10","Range of Values",2385,2385,NA
"99","Calculation cannot be determined",168,2553,NA
".","Missing",4165,6718,NA
