"LBXALD.Code.or.Value","LBXALD.Value.Description","LBXALD.Count","LBXALD.Cumulative","LBXALD.Skip.to.Item"
"0.0062 to 0.3567","Range of Values",1946,1946,NA
".","Missing",391,2337,NA
