"DUQ410.Code.or.Value","DUQ410.Value.Description","DUQ410.Count","DUQ410.Cumulative","DUQ410.Skip.to.Item"
"1","Once",11,11,"DUQ430"
"2","2-5 times",26,37,""
"3","6-19 times",11,48,""
"4","20-49 times",14,62,""
"5","50-99 times",8,70,""
"6","100 times or more",35,105,""
"77","Refused",1,106,""
"99","Don't know",0,106,""
".","Missing",4466,4572,""
