"LBDBGESI.Code.or.Value","LBDBGESI.Value.Description","LBDBGESI.Count","LBDBGESI.Cumulative","LBDBGESI.Skip.to.Item"
"0.25 to 5.04","Range of Values",7480,7480,NA
".","Missing",886,8366,NA
