"LB2RPL.Code.or.Value","LB2RPL.Value.Description","LB2RPL.Count","LB2RPL.Cumulative","LB2RPL.Skip.to.Item"
"0.14 to 22.7","Range of Values",533,533,NA
".","Missing",18,551,NA
