"RXQ520.Code.or.Value","RXQ520.Value.Description","RXQ520.Count","RXQ520.Cumulative","RXQ520.Skip.to.Item"
"1","Yes",128,128,""
"2","No",2188,2316,"End of Section"
"7","Refused",1,2317,"End of Section"
"9","Don't know",1,2318,"End of Section"
".","Missing",1564,3882,""
