"DXXPT28Y.Code.or.Value","DXXPT28Y.Value.Description","DXXPT28Y.Count","DXXPT28Y.Cumulative","DXXPT28Y.Skip.to.Item"
"132.2 to 358.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
