"BPQ050A.Code.or.Value","BPQ050A.Value.Description","BPQ050A.Count","BPQ050A.Cumulative","BPQ050A.Skip.to.Item"
"1","Yes",1650,1650,NA
"2","No",292,1942,NA
"7","Refused",0,1942,NA
"9","Don't know",0,1942,NA
".","Missing",4219,6161,NA
