"OPDDVCDR.Code.or.Value","OPDDVCDR.Value.Description","OPDDVCDR.Count","OPDDVCDR.Cumulative","OPDDVCDR.Skip.to.Item"
"0.08 to 0.89","Range of Values",3200,3200,NA
".","Missing",663,3863,NA
