"WTSAU31.Code.or.Value","WTSAU31.Value.Description","WTSAU31.Count","WTSAU31.Cumulative","WTSAU31.Skip.to.Item"
"0 to 479361.42069","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
