"DR2IMAGN.Code.or.Value","DR2IMAGN.Value.Description","DR2IMAGN.Count","DR2IMAGN.Cumulative","DR2IMAGN.Skip.to.Item"
"0 to 886","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
