"LB2MMA.Code.or.Value","LB2MMA.Value.Description","LB2MMA.Count","LB2MMA.Cumulative","LB2MMA.Skip.to.Item"
"0.04 to 1.51","Range of Values",548,548,NA
".","Missing",3,551,NA
