"ARQ110.Code.or.Value","ARQ110.Value.Description","ARQ110.Count","ARQ110.Cumulative","ARQ110.Skip.to.Item"
"1","Yes",695,695,"ARQ112a"
"2","No",4408,5103,"ARD125a"
"7","Refused",0,5103,"ARD125a"
"9","Don't know",3,5106,"ARD125a"
".","Missing",0,5106,""
