"LBXSLDSI.Code.or.Value","LBXSLDSI.Value.Description","LBXSLDSI.Count","LBXSLDSI.Cumulative","LBXSLDSI.Skip.to.Item"
"51 to 779","Range of Values",5773,5773,NA
".","Missing",628,6401,NA
