"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.404 to 0.279","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
