"CIQDPD.Code.or.Value","CIQDPD.Value.Description","CIQDPD.Count","CIQDPD.Cumulative","CIQDPD.Skip.to.Item"
"1","Yes",2,2,"CIQDPN"
"2","No",16,18,""
"7","Refuse",0,18,""
"9","Don't know",0,18,""
".","Missing",832,850,""
