"DR1IM161.Code.or.Value","DR1IM161.Value.Description","DR1IM161.Count","DR1IM161.Cumulative","DR1IM161.Skip.to.Item"
"0 to 16.797","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
