"DEQ038Q.Code.or.Value","DEQ038Q.Value.Description","DEQ038Q.Count","DEQ038Q.Cumulative","DEQ038Q.Skip.to.Item"
"1 to 15","Range of Values",1113,1113,NA
"20","20 or more times",11,1124,NA
"77777","Refused",0,1124,NA
"99999","Don't know",0,1124,NA
".","Missing",2295,3419,NA
