"SSGLA_N.Code.or.Value","SSGLA_N.Value.Description","SSGLA_N.Count","SSGLA_N.Cumulative","SSGLA_N.Skip.to.Item"
"5.55 to 230","Range of Values",1750,1750,NA
".","Missing",28,1778,NA
