"BAXFTC32.Code.or.Value","BAXFTC32.Value.Description","BAXFTC32.Count","BAXFTC32.Cumulative","BAXFTC32.Skip.to.Item"
"0 to 28","Range of Values",44,44,NA
".","Missing",3042,3086,NA
