"ARDEXSTS.Code.or.Value","ARDEXSTS.Value.Description","ARDEXSTS.Count","ARDEXSTS.Cumulative","ARDEXSTS.Skip.to.Item"
"1","Complete",4566,4566,NA
"2","Partial",385,4951,NA
"3","Not done",50,5001,NA
".","Missing",0,5001,NA
