"LBDPFDOL.Code.or.Value","LBDPFDOL.Value.Description","LBDPFDOL.Count","LBDPFDOL.Cumulative","LBDPFDOL.Skip.to.Item"
"0","At or above the detection limit",46,46,NA
"1","Below lower detection limit",1947,1993,NA
".","Missing",177,2170,NA
