"LBDZTOLC.Code.or.Value","LBDZTOLC.Value.Description","LBDZTOLC.Count","LBDZTOLC.Cumulative","LBDZTOLC.Skip.to.Item"
"0","Result at or above the limit of detection.",595,595,NA
"1","Result below the limit of detection.",43,638,NA
".","Missing",213,851,NA
