"DUQ280.Code.or.Value","DUQ280.Value.Description","DUQ280.Count","DUQ280.Cumulative","DUQ280.Skip.to.Item"
"1 to 30","Range of Values",65,65,NA
"777","Refused",0,65,NA
"999","Don't know",0,65,NA
".","Missing",4507,4572,NA
