"AUXRR275.Code.or.Value","AUXRR275.Value.Description","AUXRR275.Count","AUXRR275.Cumulative","AUXRR275.Skip.to.Item"
"-14 to 81","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
