"SXQ550.Code.or.Value","SXQ550.Value.Description","SXQ550.Count","SXQ550.Cumulative","SXQ550.Skip.to.Item"
"0 to 25","Range of Values",87,87,NA
"77777","Refused",0,87,NA
"99999","Don't know",0,87,NA
".","Missing",4756,4843,NA
