"MCQ268C.Code.or.Value","MCQ268C.Value.Description","MCQ268C.Count","MCQ268C.Cumulative","MCQ268C.Skip.to.Item"
"3","Father's Father",26,26,NA
".","Missing",9640,9666,NA
