"BMIARMC.Code.or.Value","BMIARMC.Value.Description","BMIARMC.Count","BMIARMC.Cumulative","BMIARMC.Skip.to.Item"
"1","Could not obtain",350,350,NA
".","Missing",8354,8704,NA
