"LBXCRAL.Code.or.Value","LBXCRAL.Value.Description","LBXCRAL.Count","LBXCRAL.Cumulative","LBXCRAL.Skip.to.Item"
"0.104 to 2.44","Range of Values",1948,1948,NA
".","Missing",657,2605,NA
