"DSQTVC.Code.or.Value","DSQTVC.Value.Description","DSQTVC.Count","DSQTVC.Cumulative","DSQTVC.Skip.to.Item"
"0.33 to 30000","Range of Values",2732,2732,NA
".","Missing",6522,9254,NA
