"LB2CRYSI.Code.or.Value","LB2CRYSI.Value.Description","LB2CRYSI.Count","LB2CRYSI.Cumulative","LB2CRYSI.Skip.to.Item"
"0.011 to 1.692","Range of Values",545,545,NA
".","Missing",6,551,NA
