"CIQGPC.Code.or.Value","CIQGPC.Value.Description","CIQGPC.Count","CIQGPC.Cumulative","CIQGPC.Skip.to.Item"
"1","Yes",13,13,""
"2","No",30,43,"CIDGPRB"
"7","Refused",0,43,"CIDGPRB"
"9","Don't know",0,43,"CIDGPRB"
".","Missing",807,850,""
