"PAD660.Code.or.Value","PAD660.Value.Description","PAD660.Count","PAD660.Cumulative","PAD660.Skip.to.Item"
"10 to 480","Range of Values",1430,1430,NA
"7777","Refused",0,1430,NA
"9999","Don't know",1,1431,NA
".","Missing",4425,5856,NA
