"LBDMIRLC.Code.or.Value","LBDMIRLC.Value.Description","LBDMIRLC.Count","LBDMIRLC.Cumulative","LBDMIRLC.Skip.to.Item"
"0","At or above the detection limit",156,156,NA
"1","Below lower detection limit",109,265,NA
".","Missing",0,265,NA
