"CDQ008.Code.or.Value","CDQ008.Value.Description","CDQ008.Count","CDQ008.Cumulative","CDQ008.Skip.to.Item"
"1","Yes",275,275,NA
"2","No",857,1132,NA
"7","Refused",0,1132,NA
"9","Don't know",4,1136,NA
".","Missing",2746,3882,NA
