"AUDTYR45.Code.or.Value","AUDTYR45.Value.Description","AUDTYR45.Count","AUDTYR45.Cumulative","AUDTYR45.Skip.to.Item"
"0 to 4.13","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
