"RFXC164.Code.or.Value","RFXC164.Value.Description","RFXC164.Count","RFXC164.Cumulative","RFXC164.Skip.to.Item"
"-2.406 to 3.251","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
