"WTSCI22.Code.or.Value","WTSCI22.Value.Description","WTSCI22.Count","WTSCI22.Cumulative","WTSCI22.Skip.to.Item"
"0 to 453336.43801","Range of Values",727,727,NA
".","Missing",51,778,NA
