"DRXTS080.Code.or.Value","DRXTS080.Value.Description","DRXTS080.Count","DRXTS080.Cumulative","DRXTS080.Skip.to.Item"
"0 to 10.54","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
