"DR1TP184.Code.or.Value","DR1TP184.Value.Description","DR1TP184.Count","DR1TP184.Cumulative","DR1TP184.Skip.to.Item"
"0 to 0.889","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
