"DXDRLLE.Code.or.Value","DXDRLLE.Value.Description","DXDRLLE.Count","DXDRLLE.Cumulative","DXDRLLE.Skip.to.Item"
"2012.6 to 23667.6","Range of Values",3966,3966,NA
".","Missing",1148,5114,NA
