"WTSPH18.Code.or.Value","WTSPH18.Value.Description","WTSPH18.Count","WTSPH18.Cumulative","WTSPH18.Skip.to.Item"
"0 to 778875.00902","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
