"OSD110i.Code.or.Value","OSD110i.Value.Description","OSD110i.Count","OSD110i.Cumulative","OSD110i.Skip.to.Item"
"22 to 35","Range of Values",3,3,NA
"85","85 or older",0,3,NA
"777","Refused",0,3,NA
"999","Don't know",0,3,NA
".","Missing",4976,4979,NA
