"CVDR1DI.Code.or.Value","CVDR1DI.Value.Description","CVDR1DI.Count","CVDR1DI.Cumulative","CVDR1DI.Skip.to.Item"
"39 to 178","Range of Values",2857,2857,NA
".","Missing",1806,4663,NA
