"AUDTYR24.Code.or.Value","AUDTYR24.Value.Description","AUDTYR24.Count","AUDTYR24.Cumulative","AUDTYR24.Skip.to.Item"
"0 to 1.97","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
