"SSGII3CM.Code.or.Value","SSGII3CM.Value.Description","SSGII3CM.Count","SSGII3CM.Cumulative","SSGII3CM.Skip.to.Item"
"0 to 100000","Range of Values",960,960,NA
".","Missing",76,1036,NA
