"LBDNR1LC.Code.or.Value","LBDNR1LC.Value.Description","LBDNR1LC.Count","LBDNR1LC.Cumulative","LBDNR1LC.Skip.to.Item"
"0","At or above the detection limit",4025,4025,NA
"1","Below lower detection limit",0,4025,NA
".","Missing",1618,5643,NA
