"LBXPV6.Code.or.Value","LBXPV6.Value.Description","LBXPV6.Count","LBXPV6.Cumulative","LBXPV6.Skip.to.Item"
"1","Positive",594,594,NA
"2","Negative",2911,3505,NA
".","Missing",341,3846,NA
