"SPFOA.Code.or.Value","SPFOA.Value.Description","SPFOA.Count","SPFOA.Cumulative","SPFOA.Skip.to.Item"
"0.1 to 123","Range of Values",1456,1456,NA
".","Missing",0,1456,NA
