"URXCEM.Code.or.Value","URXCEM.Value.Description","URXCEM.Count","URXCEM.Cumulative","URXCEM.Skip.to.Item"
"4.92 to 3030","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
