"URDHP2LC.Code.or.Value","URDHP2LC.Value.Description","URDHP2LC.Count","URDHP2LC.Cumulative","URDHP2LC.Skip.to.Item"
"0","At or above the detection limit",2511,2511,NA
"1","Below lower detection limit",144,2655,NA
".","Missing",324,2979,NA
