"WBXA063.Code.or.Value","WBXA063.Value.Description","WBXA063.Count","WBXA063.Cumulative","WBXA063.Skip.to.Item"
"-1.4173 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
