"URDTIME2.Code.or.Value","URDTIME2.Value.Description","URDTIME2.Count","URDTIME2.Cumulative","URDTIME2.Skip.to.Item"
"12 to 213","Range of Values",1223,1223,NA
".","Missing",6713,7936,NA
