"DMDEDUC2.Code.or.Value","DMDEDUC2.Value.Description","DMDEDUC2.Count","DMDEDUC2.Cumulative","DMDEDUC2.Skip.to.Item"
"1","Less than 9th grade",479,479,NA
"2","9-11th grade (Includes 12th grade with no diploma)",638,1117,NA
"3","High school graduate/GED or equivalent",1325,2442,NA
"4","Some college or AA degree",1778,4220,NA
"5","College graduate or above",1336,5556,NA
"7","Refused",2,5558,NA
"9","Don't Know",11,5569,NA
".","Missing",3685,9254,NA
