"WTMREP17.Code.or.Value","WTMREP17.Value.Description","WTMREP17.Count","WTMREP17.Cumulative","WTMREP17.Skip.to.Item"
"0 to 260425.83848","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
