"DXXPT35X.Code.or.Value","DXXPT35X.Value.Description","DXXPT35X.Count","DXXPT35X.Cumulative","DXXPT35X.Skip.to.Item"
"731.4 to 1270.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
