"ARQ022E.Code.or.Value","ARQ022E.Value.Description","ARQ022E.Count","ARQ022E.Cumulative","ARQ022E.Skip.to.Item"
"0 to 68","Range of Values",452,452,NA
"777","Refused",0,452,NA
"999","Don't know",4,456,NA
".","Missing",4650,5106,NA
