"WTSPP50.Code.or.Value","WTSPP50.Value.Description","WTSPP50.Count","WTSPP50.Cumulative","WTSPP50.Skip.to.Item"
"0 to 835717.9285","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
